Country,Age,Diet,Transportation,Housing,Carbon_Footprint
UK,47,Meat-based,Public Transit,Apartment,4.27
Italy,65,Vegan,Car,House,3.14
Spain,67,Meat-based,Bicycle,Apartment,2.98
Spain,19,Meat-based,Bicycle,House,3.65
France,78,Vegetarian,Car,House,3.63
Italy,24,Meat-based,Bicycle,Apartment,3.34
France,80,Meat-based,Bicycle,House,2.73
Germany,75,Vegan,Public Transit,House,4.12
France,55,Meat-based,Bicycle,Apartment,2.74
Spain,22,Vegan,Bicycle,Apartment,1.9
Germany,33,Vegetarian,Public Transit,House,6.01
Spain,62,Vegan,Public Transit,House,2.72
Germany,22,Meat-based,Car,Apartment,6.44
Germany,46,Vegetarian,Public Transit,House,5.12
Italy,79,Meat-based,Public Transit,House,4.81
France,23,Meat-based,Bicycle,House,3.16
UK,20,Meat-based,Public Transit,Apartment,4.09
Germany,79,Vegetarian,Public Transit,Apartment,5.16
Italy,70,Meat-based,Car,House,5.76
UK,65,Vegan,Car,Apartment,2.95
Germany,25,Meat-based,Car,Apartment,6.41
Spain,41,Vegan,Bicycle,Apartment,1.95
Italy,76,Meat-based,Car,Apartment,4.55
Spain,69,Meat-based,Car,House,4.7
Spain,21,Meat-based,Bicycle,House,3.78
Spain,49,Meat-based,Public Transit,House,4.27
Germany,76,Meat-based,Public Transit,House,6.85
Germany,20,Vegan,Bicycle,Apartment,2.99
Spain,44,Vegan,Public Transit,Apartment,2.27
Spain,26,Vegetarian,Car,Apartment,3.75
UK,68,Meat-based,Public Transit,House,4.93
Spain,40,Vegan,Bicycle,House,2.09
Germany,19,Vegetarian,Bicycle,Apartment,3.51
Italy,21,Vegetarian,Bicycle,House,3.17
Germany,80,Meat-based,Car,Apartment,7.14
Italy,52,Vegan,Car,Apartment,2.95
Spain,40,Meat-based,Car,Apartment,4.66
Italy,76,Vegan,Car,House,3.52
UK,27,Vegan,Car,House,3.33
Germany,49,Meat-based,Car,Apartment,6.55
Germany,19,Vegan,Public Transit,Apartment,3.61
UK,30,Meat-based,Public Transit,Apartment,4.83
Italy,21,Meat-based,Car,Apartment,5.11
UK,73,Vegetarian,Car,House,4.58
Spain,55,Meat-based,Public Transit,House,4.41
Germany,64,Vegetarian,Bicycle,House,4.43
Germany,63,Vegan,Bicycle,House,3.05
UK,70,Meat-based,Public Transit,House,5.18
Italy,26,Meat-based,Bicycle,Apartment,3.69
UK,43,Vegan,Car,Apartment,3.03
UK,32,Vegan,Bicycle,Apartment,2.26
Germany,39,Vegan,Car,Apartment,4.03
Italy,28,Vegan,Car,House,3.19
Italy,31,Meat-based,Bicycle,Apartment,3.29
France,64,Meat-based,Car,House,4.19
Spain,80,Meat-based,Public Transit,House,4.92
Italy,52,Vegetarian,Car,House,4.55
UK,59,Vegan,Car,Apartment,2.94
France,36,Meat-based,Public Transit,House,4.16
France,39,Meat-based,Public Transit,Apartment,3.59
UK,78,Meat-based,Public Transit,House,5.15
Spain,78,Vegan,Car,House,2.84
France,39,Meat-based,Car,House,4.41
UK,34,Vegan,Public Transit,House,2.81
France,43,Vegan,Bicycle,House,1.66
Italy,18,Vegetarian,Car,House,4.58
UK,48,Meat-based,Car,Apartment,4.66
Italy,80,Meat-based,Public Transit,Apartment,4.19
Spain,48,Vegetarian,Bicycle,House,2.61
UK,42,Meat-based,Public Transit,House,4.82
Spain,20,Vegetarian,Public Transit,House,3.48
Italy,54,Meat-based,Car,Apartment,4.44
Italy,69,Vegan,Public Transit,Apartment,2.64
Spain,70,Vegan,Public Transit,House,2.78
Germany,48,Vegetarian,Car,House,6.65
France,50,Vegan,Bicycle,Apartment,1.48
Spain,29,Meat-based,Car,Apartment,4.23
Spain,23,Vegan,Public Transit,Apartment,2.71
Germany,71,Vegan,Public Transit,House,4.49
France,23,Vegetarian,Bicycle,House,2.4
Italy,51,Vegetarian,Car,House,3.97
Germany,27,Vegan,Bicycle,Apartment,3.15
UK,67,Meat-based,Public Transit,House,5.32
Italy,42,Vegan,Public Transit,House,2.64
Italy,43,Meat-based,Bicycle,House,3.42
Italy,62,Meat-based,Car,House,5.83
Italy,19,Vegetarian,Public Transit,House,3.7
Spain,72,Vegan,Bicycle,Apartment,2.1
Germany,26,Vegetarian,Bicycle,House,4.54
Italy,35,Vegan,Public Transit,Apartment,2.45
Germany,76,Vegetarian,Bicycle,House,4.53
Italy,70,Meat-based,Bicycle,Apartment,3.09
UK,43,Meat-based,Bicycle,Apartment,3.24
Germany,71,Meat-based,Car,Apartment,6.86
Italy,63,Meat-based,Public Transit,House,5.16
UK,43,Vegan,Car,Apartment,2.82
Spain,56,Vegetarian,Car,House,4.13
Italy,40,Meat-based,Public Transit,Apartment,4.17
Spain,21,Meat-based,Bicycle,Apartment,3.43
Germany,61,Meat-based,Public Transit,House,6.94
France,48,Meat-based,Bicycle,Apartment,2.73
France,32,Vegetarian,Bicycle,House,2.48
Italy,45,Vegetarian,Public Transit,House,3.68
Spain,37,Vegan,Bicycle,House,2.17
France,50,Vegan,Public Transit,House,2.2
France,48,Meat-based,Public Transit,House,3.92
Italy,34,Vegan,Bicycle,House,2.12
UK,66,Meat-based,Car,House,5.68
Germany,64,Meat-based,Bicycle,House,5.92
Italy,76,Vegetarian,Public Transit,House,4.06
UK,63,Vegan,Car,House,3.45
Germany,61,Vegan,Bicycle,House,3.49
Italy,50,Vegetarian,Car,Apartment,3.71
Spain,26,Vegan,Public Transit,Apartment,2.69
Italy,59,Meat-based,Car,House,5.08
Italy,44,Vegetarian,Public Transit,House,3.94
Spain,72,Meat-based,Public Transit,Apartment,4.42
UK,55,Vegan,Car,House,3.56
UK,25,Vegan,Public Transit,House,2.92
Germany,26,Meat-based,Public Transit,House,7.6
Spain,27,Vegetarian,Bicycle,Apartment,2.7
Spain,39,Vegan,Car,House,3.13
France,46,Vegetarian,Car,Apartment,3.1
Germany,49,Meat-based,Car,House,7.9
Spain,45,Vegetarian,Public Transit,Apartment,2.99
Germany,64,Vegetarian,Car,House,6.47
UK,30,Meat-based,Bicycle,Apartment,3.55
Germany,32,Vegan,Public Transit,House,3.84
Spain,50,Vegan,Public Transit,Apartment,2.25
France,37,Vegetarian,Public Transit,House,3.01
Germany,39,Vegetarian,Public Transit,Apartment,4.65
Spain,19,Meat-based,Car,Apartment,4.31
France,55,Vegan,Car,Apartment,2.23
France,42,Vegan,Public Transit,Apartment,2.1
France,60,Meat-based,Bicycle,Apartment,2.43
France,44,Vegetarian,Public Transit,Apartment,2.77
Spain,62,Meat-based,Car,Apartment,4.39
France,60,Vegan,Public Transit,Apartment,2.03
France,50,Vegan,Bicycle,Apartment,1.53
France,49,Meat-based,Bicycle,Apartment,2.82
UK,80,Meat-based,Public Transit,House,4.75
France,53,Vegetarian,Car,House,3.28
France,18,Vegan,Car,Apartment,2.44
Spain,27,Meat-based,Bicycle,Apartment,3.34
France,75,Vegetarian,Bicycle,Apartment,2.12
Italy,34,Vegetarian,Car,Apartment,4.12
France,72,Vegetarian,Public Transit,House,3.01
France,24,Meat-based,Car,Apartment,3.94
Germany,39,Vegetarian,Public Transit,House,5.96
France,41,Vegetarian,Car,Apartment,2.99
Spain,35,Vegetarian,Bicycle,House,3.02
Germany,25,Meat-based,Bicycle,Apartment,5.31
Germany,24,Vegetarian,Bicycle,House,4.57
Spain,29,Vegan,Public Transit,House,2.8
Germany,48,Vegetarian,Car,House,6.08
France,34,Vegan,Public Transit,Apartment,2.14
UK,67,Vegan,Bicycle,Apartment,2.28
Italy,51,Vegan,Bicycle,Apartment,2.01
Germany,48,Vegetarian,Bicycle,House,4.0
UK,75,Vegan,Car,Apartment,3.06
Germany,50,Vegetarian,Public Transit,Apartment,4.56
Spain,38,Meat-based,Public Transit,House,4.16
Germany,53,Vegan,Public Transit,House,4.42
France,47,Vegetarian,Bicycle,House,2.18
Spain,46,Vegetarian,Car,House,4.26
France,24,Vegetarian,Public Transit,Apartment,2.78
France,70,Meat-based,Bicycle,House,3.2
UK,31,Vegan,Bicycle,House,2.52
Italy,70,Meat-based,Car,House,5.2
UK,56,Vegetarian,Bicycle,House,3.21
France,24,Vegan,Car,Apartment,2.22
Italy,53,Vegan,Public Transit,Apartment,2.38
Germany,49,Meat-based,Bicycle,House,4.96
UK,30,Meat-based,Car,House,5.19
Germany,63,Vegetarian,Car,House,5.59
UK,25,Vegetarian,Public Transit,Apartment,3.89
France,51,Vegan,Car,House,2.72
Spain,77,Vegan,Car,Apartment,2.87
Germany,24,Vegetarian,Bicycle,House,4.31
Spain,44,Vegan,Bicycle,Apartment,1.83
Italy,80,Vegetarian,Public Transit,Apartment,3.23
UK,62,Vegan,Bicycle,House,2.47
UK,73,Vegetarian,Bicycle,Apartment,2.61
UK,63,Vegetarian,Bicycle,House,3.34
Germany,80,Vegan,Bicycle,Apartment,2.91
Italy,63,Meat-based,Public Transit,House,4.92
Spain,61,Vegan,Bicycle,House,2.29
Spain,69,Meat-based,Bicycle,Apartment,2.9
Germany,21,Vegan,Car,Apartment,3.96
Germany,80,Vegetarian,Bicycle,House,4.0
France,62,Vegetarian,Car,Apartment,2.97
Spain,24,Vegan,Bicycle,Apartment,2.01
UK,42,Meat-based,Bicycle,House,4.0
France,77,Vegetarian,Public Transit,House,3.33
Italy,79,Vegan,Car,Apartment,3.05
Germany,57,Vegetarian,Car,House,6.47
UK,65,Vegan,Car,Apartment,2.85
Germany,80,Vegan,Car,Apartment,4.54
UK,25,Vegetarian,Car,House,4.21
Italy,26,Meat-based,Bicycle,House,3.39
Spain,63,Meat-based,Car,Apartment,4.96
UK,21,Vegan,Bicycle,House,2.31
UK,53,Vegetarian,Car,House,4.42
Germany,51,Meat-based,Bicycle,Apartment,4.76
UK,43,Meat-based,Public Transit,Apartment,4.8
Italy,39,Vegetarian,Public Transit,Apartment,3.8
UK,51,Vegetarian,Bicycle,Apartment,2.56
Italy,46,Meat-based,Bicycle,Apartment,3.7
Italy,42,Meat-based,Public Transit,House,4.88
Italy,19,Vegan,Public Transit,House,2.9
Italy,75,Vegan,Car,House,3.24
France,28,Vegan,Bicycle,Apartment,1.64
Germany,60,Vegan,Car,House,4.92
Germany,52,Vegan,Bicycle,House,3.32
France,65,Vegan,Car,Apartment,2.27
Italy,20,Meat-based,Car,Apartment,4.53
Italy,53,Meat-based,Bicycle,Apartment,3.67
Spain,42,Vegetarian,Bicycle,House,2.81
France,42,Vegan,Car,Apartment,2.35
UK,22,Vegan,Bicycle,Apartment,2.16
France,40,Vegan,Car,House,2.69
Italy,56,Meat-based,Public Transit,House,4.73
France,48,Meat-based,Bicycle,Apartment,2.48
Spain,68,Vegan,Public Transit,Apartment,2.37
Italy,79,Meat-based,Bicycle,Apartment,3.13
France,54,Vegan,Public Transit,Apartment,1.98
Italy,31,Vegetarian,Bicycle,Apartment,2.53
Germany,57,Vegetarian,Car,Apartment,5.18
UK,72,Meat-based,Bicycle,House,3.96
France,36,Vegan,Car,House,2.34
UK,49,Vegetarian,Public Transit,Apartment,3.69
Germany,24,Vegetarian,Bicycle,Apartment,4.19
Italy,49,Vegetarian,Public Transit,House,4.02
Germany,54,Vegan,Public Transit,House,4.53
Germany,18,Vegetarian,Car,Apartment,5.77
Spain,35,Vegetarian,Car,House,4.37
Spain,46,Vegetarian,Public Transit,House,3.7
Germany,59,Vegan,Car,House,4.95
Germany,75,Vegan,Car,House,4.83
France,64,Meat-based,Car,Apartment,4.05
UK,43,Vegan,Car,Apartment,3.0
UK,75,Vegan,Public Transit,Apartment,2.6
Germany,75,Vegan,Bicycle,House,2.99
UK,50,Meat-based,Public Transit,House,4.95
Germany,72,Vegan,Bicycle,Apartment,3.06
Germany,46,Meat-based,Car,Apartment,7.25
Spain,78,Vegetarian,Car,Apartment,3.85
Germany,22,Vegetarian,Public Transit,Apartment,4.53
Germany,51,Vegetarian,Public Transit,House,6.0
France,20,Vegan,Public Transit,Apartment,2.14
UK,58,Vegetarian,Bicycle,House,3.13
UK,29,Vegetarian,Bicycle,House,3.0
France,51,Vegetarian,Public Transit,Apartment,2.76
Italy,70,Vegetarian,Public Transit,House,4.17
France,50,Meat-based,Public Transit,Apartment,3.25
UK,59,Vegetarian,Car,Apartment,3.71
Italy,56,Vegan,Car,Apartment,2.86
Italy,64,Meat-based,Public Transit,House,4.82
UK,28,Vegan,Public Transit,Apartment,2.54
Germany,54,Vegan,Car,Apartment,4.26
France,75,Vegan,Car,Apartment,2.14
Germany,51,Vegetarian,Bicycle,Apartment,4.17
Italy,78,Meat-based,Car,House,5.49
Spain,73,Vegetarian,Car,Apartment,3.9
UK,27,Vegan,Car,House,3.08
Italy,77,Vegetarian,Bicycle,Apartment,2.56
Spain,26,Meat-based,Car,Apartment,4.59
UK,61,Vegetarian,Car,Apartment,3.7
UK,56,Meat-based,Bicycle,Apartment,3.18
Germany,75,Vegan,Bicycle,Apartment,3.14
Spain,51,Vegetarian,Public Transit,Apartment,3.42
Spain,32,Vegetarian,Public Transit,House,3.72
UK,24,Vegetarian,Car,House,4.38
Germany,76,Meat-based,Public Transit,House,6.59
France,63,Vegan,Car,Apartment,2.3
Spain,59,Meat-based,Bicycle,House,3.49
France,27,Vegetarian,Bicycle,House,2.26
UK,45,Vegan,Public Transit,House,3.26
Spain,66,Meat-based,Public Transit,House,4.28
UK,53,Vegetarian,Public Transit,House,4.02
Spain,65,Meat-based,Bicycle,Apartment,3.36
Spain,68,Vegan,Car,Apartment,2.59
Spain,68,Vegetarian,Bicycle,Apartment,2.39
France,69,Meat-based,Car,House,4.6
Spain,23,Meat-based,Public Transit,Apartment,4.01
UK,20,Vegan,Public Transit,House,3.04
UK,36,Vegan,Bicycle,Apartment,2.26
Germany,58,Vegetarian,Public Transit,Apartment,4.69
UK,36,Meat-based,Car,Apartment,5.06
France,41,Meat-based,Bicycle,Apartment,2.93
France,35,Vegetarian,Public Transit,House,3.0
Germany,51,Meat-based,Bicycle,Apartment,5.25
UK,36,Vegan,Bicycle,House,2.24
Italy,32,Vegan,Car,House,3.51
UK,18,Vegetarian,Car,House,4.41
UK,22,Vegan,Public Transit,House,3.24
UK,79,Vegetarian,Bicycle,House,3.2
Spain,54,Vegetarian,Car,House,4.44
Spain,61,Vegetarian,Bicycle,Apartment,2.55
Italy,22,Vegetarian,Bicycle,Apartment,2.81
Germany,69,Vegetarian,Public Transit,House,5.56
France,62,Vegetarian,Car,House,3.12
Italy,22,Vegan,Car,House,3.11
Germany,75,Vegan,Public Transit,Apartment,4.07
Germany,49,Vegan,Car,Apartment,4.35
Italy,31,Meat-based,Car,Apartment,5.17
Italy,27,Meat-based,Car,Apartment,5.01
Spain,57,Meat-based,Bicycle,Apartment,3.42
Italy,57,Vegetarian,Public Transit,House,3.87
UK,35,Vegetarian,Car,Apartment,3.61
Spain,48,Vegan,Car,House,2.98
Germany,47,Meat-based,Bicycle,House,5.18
France,18,Vegan,Car,House,2.59
Italy,41,Vegan,Public Transit,Apartment,2.64
Germany,35,Vegetarian,Bicycle,House,4.19
Spain,45,Meat-based,Public Transit,House,4.45
Spain,35,Vegetarian,Car,Apartment,4.01
Germany,70,Meat-based,Bicycle,House,5.71
UK,45,Vegetarian,Car,Apartment,4.2
Germany,48,Meat-based,Car,House,7.69
UK,52,Vegan,Public Transit,House,2.85
UK,72,Vegan,Car,House,3.04
Germany,21,Meat-based,Public Transit,House,7.39
France,46,Vegan,Public Transit,House,2.23
UK,53,Vegetarian,Public Transit,Apartment,3.5
Italy,73,Vegan,Bicycle,Apartment,2.06
UK,29,Vegetarian,Public Transit,House,4.1
Spain,67,Vegan,Public Transit,Apartment,2.41
Italy,47,Vegan,Car,Apartment,2.99
Italy,44,Vegan,Bicycle,House,2.42
France,23,Meat-based,Public Transit,Apartment,3.31
Italy,63,Vegetarian,Bicycle,House,2.87
Spain,67,Vegetarian,Bicycle,House,2.8
Germany,72,Meat-based,Car,Apartment,7.15
France,31,Meat-based,Public Transit,Apartment,3.16
Spain,53,Meat-based,Car,House,5.1
France,24,Vegetarian,Bicycle,Apartment,1.96
Spain,37,Meat-based,Car,House,5.02
Germany,26,Vegan,Car,Apartment,3.77
Italy,73,Vegetarian,Public Transit,House,4.24
UK,77,Vegetarian,Bicycle,House,2.86
UK,29,Vegan,Bicycle,House,2.37
UK,45,Vegan,Bicycle,House,2.5
Spain,52,Meat-based,Car,House,4.88
Spain,34,Meat-based,Public Transit,Apartment,3.7
Germany,40,Vegetarian,Public Transit,Apartment,5.17
Spain,78,Vegetarian,Public Transit,Apartment,3.47
Italy,56,Meat-based,Car,House,5.04
UK,45,Vegetarian,Car,Apartment,4.13
Spain,71,Vegetarian,Car,House,3.72
Germany,51,Vegan,Bicycle,House,3.09
UK,69,Vegetarian,Public Transit,Apartment,3.82
Germany,26,Vegetarian,Car,House,6.3
Italy,62,Vegan,Public Transit,Apartment,2.52
Germany,21,Vegan,Car,Apartment,4.54
Italy,35,Meat-based,Bicycle,House,3.94
Germany,23,Meat-based,Car,House,7.26
Spain,37,Vegetarian,Public Transit,House,3.8
France,39,Meat-based,Car,Apartment,3.64
Spain,22,Vegan,Public Transit,Apartment,2.32
Italy,70,Vegetarian,Car,Apartment,4.24
Germany,42,Vegetarian,Car,Apartment,5.2
France,51,Vegan,Car,House,2.49
Italy,77,Vegetarian,Car,Apartment,4.06
UK,51,Meat-based,Public Transit,House,5.09
Germany,41,Meat-based,Bicycle,Apartment,5.3
Germany,58,Vegetarian,Public Transit,Apartment,4.65
Italy,55,Meat-based,Public Transit,Apartment,3.93
France,55,Vegan,Public Transit,Apartment,2.01
France,33,Meat-based,Public Transit,Apartment,3.56
Italy,77,Vegan,Car,Apartment,2.82
Germany,62,Vegan,Car,Apartment,4.14
Italy,80,Vegan,Bicycle,House,2.4
Spain,64,Meat-based,Car,House,4.94
Germany,34,Meat-based,Public Transit,House,7.0
UK,62,Vegetarian,Car,Apartment,3.99
Italy,64,Vegetarian,Public Transit,Apartment,3.19
Germany,46,Vegetarian,Public Transit,House,5.49
UK,42,Vegan,Car,Apartment,3.04
Italy,67,Vegan,Car,House,3.37
UK,70,Vegetarian,Car,House,4.63
Germany,57,Vegetarian,Public Transit,House,5.69
France,24,Vegan,Bicycle,Apartment,1.46
Germany,29,Meat-based,Car,Apartment,6.9
France,20,Vegan,Bicycle,House,1.84
UK,57,Vegan,Bicycle,House,2.1
Germany,56,Vegan,Car,Apartment,4.51
Germany,59,Vegetarian,Car,House,6.52
France,41,Vegan,Bicycle,House,1.9
France,70,Vegan,Public Transit,Apartment,2.16
Italy,22,Meat-based,Bicycle,Apartment,3.12
Germany,52,Vegetarian,Car,Apartment,5.57
Germany,54,Vegan,Car,House,4.84
UK,40,Vegan,Public Transit,House,3.2
Germany,68,Meat-based,Bicycle,House,5.39
Germany,52,Vegan,Public Transit,House,4.49
UK,38,Vegetarian,Public Transit,House,4.22
Italy,56,Meat-based,Bicycle,Apartment,3.3
UK,77,Vegan,Public Transit,House,3.24
Spain,79,Vegetarian,Car,Apartment,4.01
UK,19,Vegan,Car,House,2.97
Germany,31,Vegetarian,Car,House,6.67
UK,53,Vegan,Bicycle,Apartment,1.91
Spain,40,Meat-based,Car,House,4.94
UK,33,Meat-based,Public Transit,House,4.55
Spain,54,Meat-based,Bicycle,Apartment,3.34
Spain,29,Vegetarian,Bicycle,Apartment,2.61
Italy,20,Vegan,Bicycle,House,2.07
France,76,Vegetarian,Public Transit,House,3.0
France,73,Meat-based,Bicycle,Apartment,2.74
Spain,21,Vegetarian,Bicycle,Apartment,2.47
UK,27,Vegetarian,Bicycle,Apartment,2.58
Spain,80,Vegetarian,Bicycle,Apartment,2.42
Italy,68,Vegetarian,Car,Apartment,3.75
Spain,54,Vegan,Car,House,2.9
Spain,50,Vegetarian,Bicycle,Apartment,2.69
Spain,53,Meat-based,Public Transit,House,4.71
Germany,53,Vegan,Bicycle,Apartment,2.76
Italy,67,Vegetarian,Public Transit,Apartment,3.22
Spain,45,Vegetarian,Public Transit,Apartment,3.17
UK,59,Meat-based,Public Transit,Apartment,4.89
UK,70,Vegetarian,Bicycle,Apartment,2.74
Germany,30,Vegan,Public Transit,Apartment,3.93
France,25,Vegan,Car,Apartment,2.5
Germany,73,Vegetarian,Car,House,6.39
France,37,Vegetarian,Public Transit,Apartment,2.66
UK,31,Meat-based,Bicycle,House,3.89
UK,64,Meat-based,Bicycle,Apartment,3.38
UK,20,Vegetarian,Car,Apartment,3.79
UK,35,Meat-based,Public Transit,Apartment,4.07
Italy,60,Vegan,Public Transit,Apartment,2.36
Spain,32,Vegetarian,Bicycle,Apartment,2.77
Spain,73,Vegan,Bicycle,Apartment,1.8
UK,79,Vegetarian,Bicycle,Apartment,2.52
UK,37,Vegetarian,Public Transit,House,4.15
France,40,Vegan,Public Transit,House,2.35
Germany,80,Vegan,Public Transit,Apartment,3.83
Spain,74,Meat-based,Bicycle,House,3.36
Italy,75,Vegetarian,Bicycle,Apartment,2.49
Spain,51,Vegan,Bicycle,Apartment,1.89
UK,27,Vegetarian,Public Transit,House,3.92
Germany,31,Vegan,Car,Apartment,4.45
Italy,62,Vegan,Bicycle,Apartment,2.01
Germany,59,Vegan,Car,House,4.22
UK,78,Vegan,Car,Apartment,2.86
Germany,64,Meat-based,Public Transit,House,7.56
Italy,46,Vegan,Bicycle,House,2.1
Germany,24,Meat-based,Car,Apartment,7.28
UK,57,Vegetarian,Bicycle,Apartment,2.83
Germany,61,Meat-based,Public Transit,Apartment,6.46
Spain,26,Vegan,Bicycle,House,2.22
Italy,29,Vegetarian,Public Transit,House,3.59
Germany,32,Meat-based,Public Transit,Apartment,6.76
Spain,32,Vegan,Bicycle,Apartment,2.02
France,29,Vegetarian,Bicycle,House,2.46
Spain,74,Meat-based,Public Transit,House,4.82
UK,65,Vegetarian,Bicycle,House,3.01
UK,56,Vegan,Bicycle,Apartment,2.09
Spain,47,Meat-based,Car,House,5.57
France,53,Vegetarian,Bicycle,Apartment,2.0
Spain,43,Vegetarian,Public Transit,House,3.41
Italy,57,Meat-based,Bicycle,Apartment,3.36
Spain,23,Vegan,Bicycle,Apartment,1.8
UK,78,Vegan,Bicycle,Apartment,2.03
Italy,46,Meat-based,Car,House,5.48
Germany,74,Vegetarian,Car,House,5.94
Germany,63,Vegan,Car,Apartment,3.83
Spain,58,Vegetarian,Car,House,4.25
UK,57,Meat-based,Public Transit,House,4.5
Germany,76,Vegetarian,Bicycle,Apartment,3.61
Germany,29,Vegan,Car,House,4.44
Spain,36,Vegan,Car,Apartment,2.96
Germany,18,Vegan,Public Transit,Apartment,3.71
Spain,52,Meat-based,Bicycle,House,3.37
UK,60,Vegetarian,Public Transit,House,3.91
UK,56,Meat-based,Car,House,5.63
UK,70,Meat-based,Car,Apartment,4.6
Italy,20,Meat-based,Car,House,5.2
France,21,Meat-based,Public Transit,Apartment,3.2
Italy,57,Vegan,Bicycle,Apartment,2.22
UK,41,Meat-based,Car,House,5.31
Spain,70,Meat-based,Public Transit,Apartment,3.94
Germany,25,Vegan,Public Transit,House,4.18
UK,31,Vegan,Car,Apartment,2.74
UK,23,Vegetarian,Bicycle,House,3.04
Italy,34,Vegan,Bicycle,House,2.45
UK,54,Vegetarian,Bicycle,House,3.08
Germany,74,Vegan,Car,House,5.06
France,25,Meat-based,Public Transit,Apartment,3.6
Germany,69,Vegan,Public Transit,House,3.78
Italy,53,Vegan,Car,Apartment,2.99
Italy,34,Meat-based,Public Transit,House,4.85
Italy,67,Meat-based,Car,House,5.21
UK,57,Meat-based,Car,Apartment,4.78
Italy,77,Vegan,Public Transit,House,3.08
Germany,48,Meat-based,Bicycle,House,5.81
UK,75,Vegetarian,Public Transit,House,4.3
France,71,Vegan,Public Transit,House,2.31
France,31,Vegan,Bicycle,House,1.89
Italy,22,Meat-based,Public Transit,Apartment,4.22
Spain,58,Vegan,Car,House,2.86
France,73,Vegetarian,Bicycle,House,2.47
Italy,44,Meat-based,Public Transit,Apartment,4.25
Italy,31,Vegan,Public Transit,Apartment,2.41
France,67,Meat-based,Car,House,4.25
Spain,75,Vegan,Car,Apartment,2.66
Spain,64,Vegan,Public Transit,House,2.55
France,70,Vegan,Bicycle,Apartment,1.51
France,47,Vegetarian,Bicycle,Apartment,1.93
France,61,Vegan,Car,House,2.53
France,24,Vegan,Bicycle,House,1.61
Italy,58,Meat-based,Public Transit,Apartment,4.09
Italy,52,Vegetarian,Public Transit,Apartment,3.33
Germany,35,Meat-based,Car,Apartment,6.51
Italy,53,Vegetarian,Public Transit,Apartment,3.8
Italy,54,Meat-based,Car,Apartment,4.66
Italy,52,Vegetarian,Car,Apartment,3.51
France,24,Vegetarian,Car,Apartment,3.01
Germany,63,Vegan,Bicycle,House,3.3
Italy,39,Meat-based,Bicycle,Apartment,3.71
Spain,54,Meat-based,Car,House,4.67
Italy,61,Vegan,Bicycle,House,2.25
Germany,27,Vegan,Public Transit,House,4.06
Italy,68,Vegetarian,Public Transit,House,3.51
Spain,25,Vegetarian,Public Transit,House,3.91
Italy,67,Vegetarian,Bicycle,Apartment,2.72
Spain,70,Vegan,Car,House,3.08
France,68,Vegetarian,Bicycle,House,2.33
Spain,33,Vegan,Car,Apartment,3.0
Spain,22,Vegetarian,Car,House,4.3
Spain,54,Vegetarian,Bicycle,Apartment,2.39
France,65,Vegan,Bicycle,House,1.64
UK,47,Vegetarian,Bicycle,Apartment,2.95
Germany,37,Vegetarian,Car,Apartment,5.74
UK,67,Vegetarian,Public Transit,House,4.07
France,23,Meat-based,Car,Apartment,4.01
Germany,46,Vegan,Public Transit,House,4.25
Spain,30,Meat-based,Bicycle,House,3.41
Italy,76,Vegetarian,Bicycle,House,3.31
UK,18,Vegan,Bicycle,House,2.47
Italy,21,Vegetarian,Bicycle,Apartment,2.44
UK,70,Vegetarian,Car,House,4.72
Germany,45,Vegan,Bicycle,House,3.31
Spain,43,Vegetarian,Public Transit,Apartment,3.4
Spain,26,Meat-based,Bicycle,House,3.8
Italy,71,Vegetarian,Car,House,4.73
Germany,26,Meat-based,Car,Apartment,6.43
Spain,60,Vegetarian,Car,Apartment,3.39
Spain,73,Vegetarian,Bicycle,House,2.91
Spain,50,Vegetarian,Bicycle,House,2.78
Germany,29,Vegetarian,Bicycle,Apartment,3.94
Germany,63,Vegan,Public Transit,House,4.51
UK,41,Meat-based,Car,House,5.73
France,55,Vegetarian,Bicycle,Apartment,1.98
UK,80,Vegetarian,Public Transit,Apartment,3.58
UK,23,Meat-based,Public Transit,Apartment,4.62
UK,69,Vegan,Public Transit,Apartment,2.89
UK,67,Meat-based,Public Transit,House,4.96
Spain,54,Vegan,Public Transit,House,2.66
Italy,36,Meat-based,Car,House,5.62
UK,34,Meat-based,Bicycle,House,3.91
UK,21,Vegan,Public Transit,Apartment,2.56
France,26,Vegan,Car,House,2.42
UK,35,Vegetarian,Public Transit,Apartment,3.74
UK,29,Vegan,Bicycle,Apartment,2.15
Italy,69,Meat-based,Public Transit,Apartment,4.34
UK,73,Meat-based,Public Transit,Apartment,4.87
UK,77,Meat-based,Public Transit,House,5.22
Germany,60,Vegetarian,Bicycle,Apartment,3.65
Italy,21,Vegan,Public Transit,Apartment,2.38
Spain,43,Vegetarian,Public Transit,House,3.84
UK,32,Vegetarian,Bicycle,House,3.06
Germany,51,Vegetarian,Car,House,6.68
Spain,42,Vegan,Public Transit,Apartment,2.27
UK,58,Vegetarian,Public Transit,House,3.83
Italy,69,Meat-based,Public Transit,House,4.8
Germany,64,Vegan,Bicycle,Apartment,2.92
Germany,38,Vegan,Car,Apartment,4.43
France,44,Meat-based,Bicycle,Apartment,2.77
Italy,32,Vegan,Public Transit,House,2.73
France,57,Meat-based,Car,Apartment,4.16
France,63,Meat-based,Car,Apartment,3.72
UK,69,Meat-based,Car,Apartment,4.71
Spain,60,Meat-based,Bicycle,House,3.86
